layer_count,file,open_time
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\L01\U1\N46W123_D100_S001_T005_L01_U1_R0.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\L01\U1\N46W123_D100_S001_T005_L01_U1_R1.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\L01\U1\N46W123_D100_S002_T005_L01_U1_R0.gpkg,0.002993
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\L01\U1\N46W123_D100_S002_T005_L01_U1_R1.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\L02\U2\N46W123_D100_S002_T005_L02_U2_R0.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\L02\U2\N46W123_D100_S002_T005_L02_U2_R1.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\L02\U3\N46W123_D100_S002_T005_L02_U3_R0.gpkg,0.002993
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\L02\U3\N46W123_D100_S002_T005_L02_U3_R1.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T003_LC01_U0_R0.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T003_LC02_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T003_LC03_U0_R0.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T003_LC04_U0_R0.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T003_LC05_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T003_LC06_U0_R0.gpkg,0.004988
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T003_LC07_U0_R0.gpkg,0.003988
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T003_LC08_U0_R0.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T003_LC09_U0_R0.gpkg,0.003988
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T003_LC10_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T005_LC01_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T005_LC02_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T005_LC03_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T005_LC04_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T005_LC05_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T005_LC06_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T005_LC07_U0_R0.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T005_LC08_U0_R0.gpkg,0.004986
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T005_LC09_U0_R0.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S001_T005_LC10_U0_R0.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S002_T005_LC01_U0_R0.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S002_T005_LC02_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S002_T005_LC03_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S002_T005_LC04_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S002_T005_LC05_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S002_T005_LC06_U0_R0.gpkg,0.003988
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S002_T005_LC07_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S002_T005_LC08_U0_R0.gpkg,0.004987
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S002_T005_LC09_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S002_T005_LC10_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S004_T005_LC01_U0_R0.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S004_T005_LC02_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S004_T005_LC03_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S004_T005_LC04_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S004_T005_LC05_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S004_T005_LC06_U0_R0.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S004_T005_LC07_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S004_T005_LC08_U0_R0.gpkg,0.004986
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S004_T005_LC09_U0_R0.gpkg,0.004987
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S004_T005_LC10_U0_R0.gpkg,0.004987
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S005_T001_LC03_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S005_T001_LC04_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S005_T001_LC05_U0_R0.gpkg,0.003988
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S005_T001_LC06_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S005_T001_LC07_U0_R0.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S005_T001_LC08_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S005_T001_LC09_U0_R0.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\100_GSFeature\LC\U0\N46W123_D100_S005_T001_LC10_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L00\U0\N46W123_D101_S001_T001_L00_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L00\U0\N46W123_D101_S002_T001_L00_U0_R0.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L01\U0\N46W123_D101_S001_T001_L01_U0_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L01\U0\N46W123_D101_S001_T001_L01_U0_R1.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L01\U0\N46W123_D101_S002_T001_L01_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L01\U0\N46W123_D101_S002_T001_L01_U0_R1.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L01\U1\N46W123_D101_S001_T001_L01_U1_R0.gpkg,0.004987
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L01\U1\N46W123_D101_S001_T001_L01_U1_R1.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L01\U1\N46W123_D101_S002_T001_L01_U1_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L01\U1\N46W123_D101_S002_T001_L01_U1_R1.gpkg,0.004986
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U0\N46W123_D101_S001_T001_L02_U0_R0.gpkg,0.005984
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U0\N46W123_D101_S001_T001_L02_U0_R1.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U0\N46W123_D101_S001_T001_L02_U0_R2.gpkg,0.00299
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U0\N46W123_D101_S001_T001_L02_U0_R3.gpkg,0.003988
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U0\N46W123_D101_S002_T001_L02_U0_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U0\N46W123_D101_S002_T001_L02_U0_R1.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U0\N46W123_D101_S002_T001_L02_U0_R2.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U0\N46W123_D101_S002_T001_L02_U0_R3.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U1\N46W123_D101_S001_T001_L02_U1_R0.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U1\N46W123_D101_S001_T001_L02_U1_R1.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U1\N46W123_D101_S001_T001_L02_U1_R2.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U1\N46W123_D101_S001_T001_L02_U1_R3.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U1\N46W123_D101_S002_T001_L02_U1_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U1\N46W123_D101_S002_T001_L02_U1_R1.gpkg,0.004986
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U1\N46W123_D101_S002_T001_L02_U1_R2.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U1\N46W123_D101_S002_T001_L02_U1_R3.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U2\N46W123_D101_S001_T001_L02_U2_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U2\N46W123_D101_S001_T001_L02_U2_R1.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U2\N46W123_D101_S001_T001_L02_U2_R2.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U2\N46W123_D101_S001_T001_L02_U2_R3.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U2\N46W123_D101_S002_T001_L02_U2_R0.gpkg,0.003991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U2\N46W123_D101_S002_T001_L02_U2_R1.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U2\N46W123_D101_S002_T001_L02_U2_R2.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U2\N46W123_D101_S002_T001_L02_U2_R3.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U3\N46W123_D101_S001_T001_L02_U3_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U3\N46W123_D101_S001_T001_L02_U3_R1.gpkg,0.002993
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U3\N46W123_D101_S001_T001_L02_U3_R2.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U3\N46W123_D101_S001_T001_L02_U3_R3.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U3\N46W123_D101_S002_T001_L02_U3_R0.gpkg,0.003988
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U3\N46W123_D101_S002_T001_L02_U3_R1.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U3\N46W123_D101_S002_T001_L02_U3_R2.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L02\U3\N46W123_D101_S002_T001_L02_U3_R3.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U0\N46W123_D101_S001_T001_L03_U0_R0.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U0\N46W123_D101_S001_T001_L03_U0_R1.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U0\N46W123_D101_S001_T001_L03_U0_R2.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U0\N46W123_D101_S001_T001_L03_U0_R5.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U0\N46W123_D101_S001_T001_L03_U0_R6.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U0\N46W123_D101_S001_T001_L03_U0_R7.gpkg,0.004986
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U0\N46W123_D101_S002_T001_L03_U0_R0.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U0\N46W123_D101_S002_T001_L03_U0_R1.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U0\N46W123_D101_S002_T001_L03_U0_R2.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U0\N46W123_D101_S002_T001_L03_U0_R3.gpkg,0.00299
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U0\N46W123_D101_S002_T001_L03_U0_R4.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U0\N46W123_D101_S002_T001_L03_U0_R5.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U0\N46W123_D101_S002_T001_L03_U0_R6.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U0\N46W123_D101_S002_T001_L03_U0_R7.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U1\N46W123_D101_S001_T001_L03_U1_R0.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U1\N46W123_D101_S001_T001_L03_U1_R1.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U1\N46W123_D101_S001_T001_L03_U1_R2.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U1\N46W123_D101_S001_T001_L03_U1_R3.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U1\N46W123_D101_S001_T001_L03_U1_R4.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U1\N46W123_D101_S001_T001_L03_U1_R7.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U1\N46W123_D101_S002_T001_L03_U1_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U1\N46W123_D101_S002_T001_L03_U1_R1.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U1\N46W123_D101_S002_T001_L03_U1_R2.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U1\N46W123_D101_S002_T001_L03_U1_R3.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U1\N46W123_D101_S002_T001_L03_U1_R4.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U1\N46W123_D101_S002_T001_L03_U1_R5.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U1\N46W123_D101_S002_T001_L03_U1_R6.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U1\N46W123_D101_S002_T001_L03_U1_R7.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S001_T001_L03_U2_R0.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S001_T001_L03_U2_R1.gpkg,0.003988
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S001_T001_L03_U2_R2.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S001_T001_L03_U2_R3.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S001_T001_L03_U2_R4.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S001_T001_L03_U2_R5.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S001_T001_L03_U2_R6.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S001_T001_L03_U2_R7.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S002_T001_L03_U2_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S002_T001_L03_U2_R1.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S002_T001_L03_U2_R2.gpkg,0.004988
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S002_T001_L03_U2_R3.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S002_T001_L03_U2_R4.gpkg,0.002993
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S002_T001_L03_U2_R5.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S002_T001_L03_U2_R6.gpkg,0.00399
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U2\N46W123_D101_S002_T001_L03_U2_R7.gpkg,0.003988
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U3\N46W123_D101_S001_T001_L03_U3_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U3\N46W123_D101_S001_T001_L03_U3_R1.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U3\N46W123_D101_S001_T001_L03_U3_R2.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U3\N46W123_D101_S001_T001_L03_U3_R3.gpkg,0.003988
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U3\N46W123_D101_S001_T001_L03_U3_R4.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U3\N46W123_D101_S001_T001_L03_U3_R6.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U3\N46W123_D101_S002_T001_L03_U3_R0.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U3\N46W123_D101_S002_T001_L03_U3_R1.gpkg,0.003988
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U3\N46W123_D101_S002_T001_L03_U3_R2.gpkg,0.004987
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U3\N46W123_D101_S002_T001_L03_U3_R3.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U3\N46W123_D101_S002_T001_L03_U3_R4.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U3\N46W123_D101_S002_T001_L03_U3_R5.gpkg,0.004987
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U3\N46W123_D101_S002_T001_L03_U3_R6.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U3\N46W123_D101_S002_T001_L03_U3_R7.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U4\N46W123_D101_S001_T001_L03_U4_R0.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U4\N46W123_D101_S001_T001_L03_U4_R1.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U4\N46W123_D101_S001_T001_L03_U4_R2.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U4\N46W123_D101_S001_T001_L03_U4_R3.gpkg,0.002992
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U4\N46W123_D101_S001_T001_L03_U4_R4.gpkg,0.004985
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U4\N46W123_D101_S001_T001_L03_U4_R5.gpkg,0.003989
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U4\N46W123_D101_S001_T001_L03_U4_R6.gpkg,0.002991
1,f:\GeoCDB\Option1\northwest_cdb_part2\Tiles\N46\W123\101_GTFeature\L03\U4\N46W123_D101_S001_T001_L03_U4_R7.gpkg,0.003989
